Date,Temp,WeekOfYear,SinWeek,CosWeek
2022-03-02,5.7,9,0.8854560256532098,0.4647231720437686
2022-03-03,7.5,9,0.8854560256532098,0.4647231720437686
2022-03-04,6.7,9,0.8854560256532098,0.4647231720437686
2022-03-05,5.4,9,0.8854560256532098,0.4647231720437686
2022-03-06,5.2,9,0.8854560256532098,0.4647231720437686
2022-03-07,4.3,10,0.9350162426854148,0.35460488704253557
2022-03-08,5.4,10,0.9350162426854148,0.35460488704253557
2022-03-09,8.2,10,0.9350162426854148,0.35460488704253557
2022-03-10,11.3,10,0.9350162426854148,0.35460488704253557
2022-03-11,9.9,10,0.9350162426854148,0.35460488704253557
2022-03-12,9.4,10,0.9350162426854148,0.35460488704253557
2022-03-13,9.9,10,0.9350162426854148,0.35460488704253557
2022-03-14,7.8,11,0.970941817426052,0.23931566428755804
2022-03-15,7.9,11,0.970941817426052,0.23931566428755804
2022-03-16,8.4,11,0.970941817426052,0.23931566428755804
2022-03-17,7.3,11,0.970941817426052,0.23931566428755804
2022-03-18,8.5,11,0.970941817426052,0.23931566428755804
2022-03-19,9.8,11,0.970941817426052,0.23931566428755804
2022-03-20,6.7,11,0.970941817426052,0.23931566428755804
2022-03-21,6.6,12,0.992708874098054,0.120536680255323
